index,time,channel,amplitude
587,15.6989,c_385ch,-20.08258
588,15.716,c_933ch,-36.31853
589,15.7185,c_45ch,-19.49976
590,15.86725,c_1016ch,-41.05337
591,16.03335,c_903ch,-25.4227
592,16.04365,c_686ch,-40.63594
593,16.0437,c_886ch,-24.67885
594,16.0439,c_528ch,-27.24176
595,16.0442,c_660ch,-31.16279
596,16.04425,c_888ch,-27.1289
597,16.05765,c_236ch,-26.48607
598,16.05895,c_696ch,-24.60647
599,16.08305,c_71ch,-17.67323
600,16.0844,c_208ch,-33.90781
601,16.0846,c_680ch,-26.16419
602,16.08465,c_784ch,-45.06378
603,16.10005,c_153ch,-39.26748
604,16.1953,c_862ch,-21.5338
605,16.19535,c_909ch,-23.8289
606,16.20415,c_839ch,-20.47786
607,16.25575,c_574ch,-18.31405
608,16.3286,c_612ch,-33.29153
609,16.3286,c_680ch,-45.21614
610,16.32865,c_672ch,-27.17864
611,16.32865,c_784ch,-46.64159
612,16.3287,c_772ch,-24.02504
613,16.3302,c_932ch,-22.5481
614,16.3485,c_528ch,-27.63495
615,16.34885,c_660ch,-29.11498
616,16.4349,c_932ch,-20.60001
617,16.45245,c_680ch,-35.28887
618,16.4525,c_784ch,-34.76468
619,16.4743,c_868ch,-28.13876
620,16.5055,c_22ch,-24.54466
621,16.50865,c_611ch,-35.71272
622,16.5882,c_208ch,-27.93731
623,16.58845,c_612ch,-26.64118
624,16.5885,c_784ch,-39.13568
625,16.66405,c_875ch,-21.34953
626,16.69715,c_906ch,-26.5872
627,16.7064,c_90ch,-21.1863
628,16.71485,c_385ch,-22.27369
629,16.7863,c_862ch,-27.79313
630,16.8016,c_572ch,-21.1279
631,16.8215,c_909ch,-25.88931
632,16.8658,c_798ch,-21.07586
633,16.9411,c_385ch,-25.50232
634,16.95935,c_906ch,-27.10367
635,16.9595,c_986ch,-32.96667
636,16.9649,c_874ch,-24.01632
637,17.0427,c_78ch,-21.68153
638,17.1603,c_733ch,-27.99677
639,17.16435,c_986ch,-26.98247
640,17.208,c_932ch,-20.84542
641,17.22635,c_51ch,-21.50175
642,17.2429,c_719ch,-30.11498
643,17.2639,c_922ch,-22.2553
644,17.2791,c_793ch,-27.60047
645,17.2799,c_958ch,-20.81558
646,17.3199,c_153ch,-29.52194
647,17.3561,c_979ch,-18.864
648,17.42065,c_1020ch,-25.53155
649,17.45635,c_959ch,-32.8284
650,17.4979,c_701ch,-25.53866
651,17.7578,c_392ch,-22.53699
652,17.76665,c_862ch,-26.74314
653,17.7667,c_909ch,-21.95508
654,17.806,c_932ch,-20.08939
655,17.82355,c_834ch,-22.61286
656,17.8279,c_779ch,-26.68724
657,17.8446,c_925ch,-19.54827
658,17.84465,c_953ch,-16.98364
659,17.88315,c_718ch,-32.01137
660,17.97265,c_576ch,-18.99285
661,17.97305,c_1020ch,-24.97551
662,17.97695,c_588ch,-23.52574
663,17.97695,c_804ch,-22.19436
664,17.977,c_696ch,-30.5452
665,17.9949,c_153ch,-48.94642
666,18.04295,c_646ch,-32.29607
667,18.0738,c_392ch,-25.74939
668,18.12345,c_236ch,-26.68954
669,18.1384,c_986ch,-23.34248
670,18.14585,c_640ch,-23.30935
671,18.24545,c_392ch,-27.62714
672,18.27995,c_638ch,-21.81048
673,18.28,c_718ch,-36.94321
674,18.28,c_806ch,-20.6008
675,18.2925,c_528ch,-25.67093
676,18.2928,c_660ch,-29.74948
677,18.29285,c_888ch,-22.09461
678,18.3803,c_932ch,-24.22668
679,18.4289,c_911ch,-38.39797
680,18.4291,c_919ch,-29.70137
681,18.4292,c_2ch,-26.80246
682,18.48485,c_909ch,-20.99917
683,18.48655,c_392ch,-32.09474
684,18.4905,c_1001ch,-21.9985
685,18.507,c_986ch,-30.19211
686,18.5293,c_669ch,-125.5091
687,18.5769,c_392ch,-27.36798
688,18.6089,c_576ch,-22.16084
689,18.6667,c_153ch,-55.39487
690,18.7004,c_664ch,-32.29814
691,18.7097,c_731ch,-21.09711
692,18.715,c_1016ch,-29.70341
693,18.7215,c_696ch,-36.10422
694,18.7442,c_986ch,-23.63067
695,18.79085,c_769ch,-27.76122
696,18.81335,c_579ch,-20.13309
697,18.8139,c_572ch,-22.37129
698,18.9124,c_54ch,-128.5442
699,18.9379,c_868ch,-26.99251
700,18.94525,c_933ch,-34.42536
701,19.0218,c_889ch,-269.9061
702,19.0218,c_936ch,-139.5116
703,19.0218,c_956ch,-230.3427
704,19.0218,c_58ch,-119.6532
705,19.0218,c_34ch,-114.9978
706,19.0218,c_215ch,-202.6217
707,19.07985,c_903ch,-29.7939
708,19.0914,c_820ch,-23.57171
709,19.09365,c_986ch,-25.37411
710,19.09445,c_933ch,-33.8215
711,19.09545,c_778ch,-82.93858
712,19.2154,c_811ch,-94.96184
713,19.27945,c_528ch,-22.48954
714,19.2798,c_660ch,-33.4635
715,19.27985,c_888ch,-24.30565
716,19.3198,c_909ch,-27.22678
717,19.3204,c_647ch,-22.96918
718,19.3208,c_863ch,-22.07107
719,19.34495,c_99ch,-19.39424
720,19.45035,c_853ch,-28.66764
721,19.4508,c_986ch,-32.82597
722,19.57255,c_886ch,-25.03462
723,19.6229,c_153ch,-41.37117
724,19.64785,c_1009ch,-28.12569
725,19.6922,c_581ch,-23.28321
726,19.7001,c_888ch,-20.00683
727,19.71205,c_1018ch,-22.9404
728,19.80875,c_686ch,-31.21859
729,19.846,c_903ch,-43.51806
730,19.8463,c_780ch,-25.26665
731,19.84645,c_684ch,-22.7011
732,20.06225,c_99ch,-20.91493
733,20.1847,c_934ch,-25.1465
